a_name,b_name,games,win_a,win_b,draw,goals_a,goals_b,shots_a,shots_b,fouls_a,fouls_b
Balanced-4231,Balanced-4231,50,18,22,10,71,83,397,447,401,411
Balanced-4231,MidBlock-4141-Narrow,50,18,22,10,71,83,397,447,401,411
Balanced-4231,CentralOverload-4141,50,18,22,10,71,83,397,447,401,411
Balanced-4231,WingOverload-4231-Wide,50,18,20,12,72,81,399,456,411,397
Balanced-4231,HighPress-433-Wide,50,17,20,13,71,81,398,458,409,394
Balanced-4231,DirectPlay-442,50,18,22,10,71,83,397,447,401,411
Balanced-4231,LowBlock-442-Narrow,50,18,22,10,71,83,395,447,401,411
Balanced-4231,ParkBreak-541-Wide,50,18,20,12,72,81,397,456,411,397
MidBlock-4141-Narrow,Balanced-4231,50,18,22,10,71,83,398,447,401,411
MidBlock-4141-Narrow,MidBlock-4141-Narrow,50,18,22,10,71,83,398,447,401,411
MidBlock-4141-Narrow,CentralOverload-4141,50,18,22,10,71,83,398,447,401,411
MidBlock-4141-Narrow,WingOverload-4231-Wide,50,18,20,12,72,81,400,456,411,397
MidBlock-4141-Narrow,HighPress-433-Wide,50,17,20,13,71,81,399,458,409,394
MidBlock-4141-Narrow,DirectPlay-442,50,18,22,10,71,83,398,447,401,411
MidBlock-4141-Narrow,LowBlock-442-Narrow,50,18,22,10,71,83,396,447,401,411
MidBlock-4141-Narrow,ParkBreak-541-Wide,50,18,20,12,72,81,398,456,411,397
CentralOverload-4141,Balanced-4231,50,18,22,10,71,83,398,447,401,411
CentralOverload-4141,MidBlock-4141-Narrow,50,18,22,10,71,83,398,447,401,411
CentralOverload-4141,CentralOverload-4141,50,18,22,10,71,83,398,447,401,411
CentralOverload-4141,WingOverload-4231-Wide,50,18,20,12,72,81,400,456,411,397
CentralOverload-4141,HighPress-433-Wide,50,17,20,13,71,81,399,458,409,394
CentralOverload-4141,DirectPlay-442,50,18,22,10,71,83,398,447,401,411
CentralOverload-4141,LowBlock-442-Narrow,50,18,22,10,71,83,396,447,401,411
CentralOverload-4141,ParkBreak-541-Wide,50,18,20,12,72,81,398,456,411,397
WingOverload-4231-Wide,Balanced-4231,50,16,22,12,72,83,412,442,400,402
WingOverload-4231-Wide,MidBlock-4141-Narrow,50,16,22,12,72,83,412,442,400,402
WingOverload-4231-Wide,CentralOverload-4141,50,16,22,12,72,83,412,442,400,402
WingOverload-4231-Wide,WingOverload-4231-Wide,50,15,21,14,70,81,424,455,412,399
WingOverload-4231-Wide,HighPress-433-Wide,50,14,21,15,69,81,423,457,410,396
WingOverload-4231-Wide,DirectPlay-442,50,16,22,12,72,83,412,442,400,402
WingOverload-4231-Wide,LowBlock-442-Narrow,50,16,22,12,72,83,410,442,400,402
WingOverload-4231-Wide,ParkBreak-541-Wide,50,15,21,14,70,81,422,455,412,399
HighPress-433-Wide,Balanced-4231,50,16,22,12,72,83,414,442,401,401
HighPress-433-Wide,MidBlock-4141-Narrow,50,16,22,12,72,83,414,442,401,401
HighPress-433-Wide,CentralOverload-4141,50,16,22,12,72,83,414,442,401,401
HighPress-433-Wide,WingOverload-4231-Wide,50,15,21,14,70,81,426,455,413,398
HighPress-433-Wide,HighPress-433-Wide,50,15,21,14,70,81,426,455,413,398
HighPress-433-Wide,DirectPlay-442,50,16,22,12,72,83,414,442,401,401
HighPress-433-Wide,LowBlock-442-Narrow,50,17,21,12,74,81,416,439,398,401
HighPress-433-Wide,ParkBreak-541-Wide,50,16,20,14,72,79,428,453,410,398
DirectPlay-442,Balanced-4231,50,19,21,10,73,81,399,446,401,411
DirectPlay-442,MidBlock-4141-Narrow,50,19,21,10,73,81,399,446,401,411
DirectPlay-442,CentralOverload-4141,50,19,21,10,73,81,399,446,401,411
DirectPlay-442,WingOverload-4231-Wide,50,19,19,12,74,79,401,456,411,397
DirectPlay-442,HighPress-433-Wide,50,19,19,12,74,79,401,456,411,397
DirectPlay-442,DirectPlay-442,50,19,21,10,73,81,399,446,401,411
DirectPlay-442,LowBlock-442-Narrow,50,19,21,10,73,81,397,446,401,411
DirectPlay-442,ParkBreak-541-Wide,50,19,19,12,74,79,399,456,411,397
LowBlock-442-Narrow,Balanced-4231,50,17,22,11,69,82,397,442,400,404
LowBlock-442-Narrow,MidBlock-4141-Narrow,50,17,22,11,69,82,397,442,400,404
LowBlock-442-Narrow,CentralOverload-4141,50,17,22,11,69,82,397,442,400,404
LowBlock-442-Narrow,WingOverload-4231-Wide,50,17,20,13,70,80,398,454,411,391
LowBlock-442-Narrow,HighPress-433-Wide,50,17,20,13,72,81,397,459,410,393
LowBlock-442-Narrow,DirectPlay-442,50,17,22,11,71,83,394,448,400,407
LowBlock-442-Narrow,LowBlock-442-Narrow,50,17,22,11,71,83,397,436,398,407
LowBlock-442-Narrow,ParkBreak-541-Wide,50,17,20,13,72,81,397,453,409,396
ParkBreak-541-Wide,Balanced-4231,50,16,22,12,73,83,409,442,401,401
ParkBreak-541-Wide,MidBlock-4141-Narrow,50,16,22,12,73,83,409,442,401,401
ParkBreak-541-Wide,CentralOverload-4141,50,16,22,12,73,83,409,442,401,401
ParkBreak-541-Wide,WingOverload-4231-Wide,50,15,21,14,71,81,421,456,413,398
ParkBreak-541-Wide,HighPress-433-Wide,50,14,21,15,70,81,420,458,411,395
ParkBreak-541-Wide,DirectPlay-442,50,15,22,13,72,83,408,443,399,398
ParkBreak-541-Wide,LowBlock-442-Narrow,50,16,22,12,73,83,409,442,401,401
ParkBreak-541-Wide,ParkBreak-541-Wide,50,15,21,14,71,81,421,456,413,398
